*Loc,Descr,Loc_Type,HIERARCHYLEVEL,UDC_ClusterDescr,UDC_ClusterID,UDC_CountryDescr,UDC_CountryID,UDC_Create_Dtetm,UDC_Level,UDC_RegionDescr,UDC_RegionID,UDC_Update_Dtetm,UDC_AreaID,UDC_AreaDescr,Type,UDC_Delete
9106,CH Co.opFood HN Khuong Trung,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,4/10/2023 11:11,S,Mien Bac,1,TRUE
9107,CH Co.opFood HN Phung Khoang,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9108,CH Co.opFood HN Van Khe,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9109,CH Co.opFood HN The Vesta,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9110,CH Co.opFood HN Green Stars,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9111,NKD-CH CFood HN Vinata Tower,6,STORE,CoopFood,CF,Vietnam,VN,1/17/2021 15:56,1,unknown,0,2/17/2020 0:00,S,unknown,1,TRUE
9112,NKD-CH Co.opFood HN Gemek,6,STORE,CoopFood,CF,Vietnam,VN,,1,unknown,0,9/7/2020 0:00,S,unknown,1,TRUE
9113,NKD-CH CFood HN Nguyen DucCanh,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9114,CH Co.opFood HN Anland,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9115,CH Co.opFood HN Ecohome,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9116,CH Co.opFood HN Nghia Do,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9117,NKD-CH CoopFood HN Vinaconex 3,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9118,NKD-CH Co.opFood HN OCT5,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9119,NKD-CH CFood HN FLC Pham Hung,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9120,CH Co.opFood HN VP2 Linh Dam,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9121,NKD-CH CFood HN Tu Hiep Plaza,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,3/14/2022 0:00,S,Mien Bac,1,TRUE
9122,NKD-CH CFood HN C2 Xuan Dinh,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9123,NKD-CH Co.opFood HN Valencia,6,STORE,CoopFood,CF,Vietnam,VN,1/17/2021 15:56,1,unknown,0,12/2/2019 0:00,S,unknown,1,TRUE
9124,CH Co.opFood HN The K-Park,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9125,NKD-CH CF HN Thang LongVictory,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9126,CH Co.opFood HN Kim Van Kim Lu,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9127,NKD-CH CFood HN An Binh City,6,STORE,CoopFood,CF,Vietnam,VN,,1,unknown,0,9/7/2020 0:00,S,unknown,1,TRUE
9128,NKD-CH Co.opFood HN Dai Thanh,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9129,NKD-CH CFood HN Hong KongTower,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9130,CH Co.opFood HN Athena Complex,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9131,CH CFood HN Thanh Ha CIENCO 5,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9132,NKD-CH Co.opFood HN Dinh Cong,6,STORE,CoopFood,CF,Vietnam,VN,1/17/2021 15:56,1,unknown,0,2/17/2020 0:00,S,unknown,1,TRUE
9133,NKD-CH CFood HN Ngoai GiaoDoan,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9134,CH CFood HN Xuan Mai Duong Noi,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9135,NKD-CH Co.opFood HN Dich Vong,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9136,NKD-CH CFood HN 89 Phung Hung,6,STORE,CoopFood,CF,Vietnam,VN,,1,unknown,0,9/7/2020 0:00,S,unknown,1,TRUE
9137,NKD-CH CFood HN South Building,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,TRUE
9138,CH Co.opFood HN Thai Ha CT4,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9139,CH Co.opFood HN Thai Ha HH,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,,S,Mien Bac,1,FALSE
9140,NKD-CH CFood HN Nguyen Van Cu,6,STORE,CoopFood,CF,Vietnam,VN,,1,Mien Bac,MB,3/14/2022 0:00,S,Mien Bac,1,TRUE
