*Item,Descr,ItemClass,UOM,DefaultUOM,UDC_BuyUOM,UDC_BuyContent,UDC_Weight,UDC_Cube,UnitPrice,PlanLevel,UDC_CategoryDescr,UDC_CategoryID,UDC_ClassDescr,UDC_ClassID,UDC_CREATE_DteTm,UDC_Delete,UDC_DeptDescr,UDC_DeptID,UDC_SubDeptDescr,UDC_SubDeptID,UDC_Update_DteTm,UnitsPerPallet,Vol,Wgt,BRAND,UDC_GOLIVE
3054358,Cherry My kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"420,000.000",1,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3054363,Chanh DaLat kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"30,000.000",0,Thuc Pham Tuoi Song,1,Cu can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Cu cac loai,5,4/8/24 06:16 AM,1.000,.000,.000,,false
3062607,Chanh khong hat kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"30,000.000",0,Thuc Pham Tuoi Song,1,Cu can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Cu cac loai,5,4/8/24 06:16 AM,1.000,.000,.000,,false
3064936,Xoai cat bo kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"40,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3064939,Chom Chom kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"12,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3064943,Dau vang kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"16,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3064944,Dau xanh kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"20,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3064950,Buoi nam roi - nglieu ep nuoc,DEFAULT,PIECES,18,KG,1.000,.000,.000,"22,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,1/6/22 07:10 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3064951,Cam sanh kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"13,000.000",1,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3064952,Chom chom giong Thai kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,"59,000.000",0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,7/19/21 08:15 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
